	strong
SRR3108963	0.632112074885052
SRR3108968	0.8396951645417108
SRR3108969	0.5177428588497176
SRR3108988	0.7530412951326455
SRR3108989	0.8103243460919229
SRR3108991	0.8353317102402418
SRR3108994	0.5533595997498436
SRR3108998	0.4155836959389825
SRR8365816	0.5280159741734417
SRR8365817	0.688125002205416
SRR8365826	0.5302110285784334
SRR8365827	0.4920864276457455
SRR8365828	0.6240376208302596
SRR8365829	0.4599165303616887
SRR8365832	0.5491318944676482
SRR8365833	0.5955707266844658
SRR8365834	0.47512776617147645
SRR8365849	0.6399618108209404
SRR8365850	0.7196372952298478
SRR8365851	0.6481027707442802
SRR8365852	0.6482250756510816
SRR8365853	0.671987572365801
SRR8365854	0.6620279333616539
SRR8365855	0.5673317810151863
SRR8365856	0.46098204553077315
SRR8365867	0.6946745195672235
SRR8365868	0.606368790185451
SRR9660293	0.5232107220600326
SRR9660294	0.4909020171397047
SRR9660295	0.5330337889540706
SRR9660296	0.5387599587494858
SRR9660297	0.5380805614288139
SRR9660298	0.5147504899704842
SRR9660299	0.5070081122294401
SRR9660300	0.5523906747922098
SRR14654853	0.39468312839149705
SRR14654854	0.4085352238472703
SRR14654855	0.3574902723735408
SRR14654856	0.37399492170969106
SRR14654857	0.36697614056104616
SRR14654858	0.3577163564018758
SRR14654859	0.36468939058580496
SRR14654865	0.3845818724975624
SRR14654870	0.4069196428571429
SRR14654871	0.4180737961225766
SRR14654872	0.42957481500062705
SRR14654873	0.41130434782608694
SRR14654874	0.42583454281567484
SRR14654875	0.40858218194423807
SRR14654876	0.41390794365607164
SRR14654877	0.40113943028485755
