	margalef
SRR3108963	69.17871110748413
SRR3108968	16.864509241284075
SRR3108969	160.30705986579554
SRR3108988	44.15337492242372
SRR3108989	27.37435148016968
SRR3108991	13.09358612576715
SRR3108994	87.06493990641772
SRR3108998	72.64168842033546
SRR8365816	87.12680137545883
SRR8365817	45.00417378568385
SRR8365826	72.69634478058367
SRR8365827	40.39752536980054
SRR8365828	51.042678935243316
SRR8365829	35.03781832169271
SRR8365832	50.710767688133544
SRR8365833	51.32427623322968
SRR8365834	80.09481115091548
SRR8365849	18.482341882179675
SRR8365850	33.94056656546589
SRR8365851	36.39990027411208
SRR8365852	57.03707056722247
SRR8365853	43.876263233011855
SRR8365854	33.87584509250139
SRR8365855	69.99164650485496
SRR8365856	14.608903005844997
SRR8365867	44.106240915209334
SRR8365868	39.69374982110083
SRR9660293	164.96600907779646
SRR9660294	180.4725532727094
SRR9660295	159.78561422196353
SRR9660296	134.24379921653036
SRR9660297	86.23803379797691
SRR9660298	170.90656452804188
SRR9660299	140.647523729974
SRR9660300	175.33562276029107
SRR14654853	7.842328908751282
SRR14654854	7.980119587183506
SRR14654855	12.544391201192147
SRR14654856	18.362431515009607
SRR14654857	14.65252343737339
SRR14654858	8.955779092531474
SRR14654859	11.574497232716682
SRR14654865	8.649436568165155
SRR14654870	10.15013310035827
SRR14654871	8.893136423319506
SRR14654872	9.789954410845915
SRR14654873	7.711228601010376
SRR14654874	9.583216747696163
SRR14654875	7.836108920352714
SRR14654876	15.068986747162104
SRR14654877	6.832497292540265
