Feature ID	Taxon	Confidence
0051547e45fca1507defbacd02e06a4c	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Conexibacter	0.7578757410700144
005416fe2cb62db19519036e0f5db0b3	d__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__Ktedonobacteraceae; g__Thermosporothrix; s__uncultured_bacterium	0.9999998838615692
00569b6b530f1b14a8263b4ba7c4efb3	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Domibacillus; s__Bacillus_sp.	0.7792632314400569
005b6ecce1732f1a6e4f39aa06dcf3d8	d__Archaea; p__Nanohaloarchaeota; c__Nanosalinia; o__Nanosalinales; f__Nanosalinaceae; g__Nanosalinaceae	0.9995931201600307
00629c0844ea1eab03c0f54407711053	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae	0.9999996823530715
006a631706b0ab99eac5dbc320744ca9	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__uncultured; g__uncultured; s__uncultured_bacterium	0.9996322907259177
006fd52807f518d2f31f45150854257f	d__Archaea; p__Halobacterota; c__Halobacteria; o__Halobacterales; f__Halomicrobiaceae; g__Halomicroarcula; s__Halomicroarcula_sp.	0.7476852397977993
0071878099b193e70329abca1dbe23fd	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Cellvibrionaceae; g__uncultured; s__marine_metagenome	0.9574545363368968
0078b586072d09f8b975e4be8d2a13a6	d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96	0.9999999537472906
007b0d3ef3507bfe41c2b415fdcdc8fa	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae	0.9999877582135853
007c7ecdf7530ccd9c12ff303c81cc9d	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101_soil_group; g__WD2101_soil_group; s__uncultured_bacterium	0.8687624770432468
007ceb53d80f0473c45e8dc011691170	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Tistrellales; f__Geminicoccaceae; g__uncultured; s__uncultured_Acetobacteraceae	0.704481804646571
00826a2293a14b6cd01f0382d0b31d1d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__KI89A_clade; f__KI89A_clade; g__KI89A_clade	0.9999947231839467
0086cafbafa4faa055d5effdaf2d8b6c	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0.9999852664065225
